What kind of place would you like Casey to be in 2041?,If you had the power to change just one thing in the City of Casey what would it be?,What three words would you use to describe your Vision for the City of Casey?,,,What's most important to you?,Other,What is your suburb?,Postcode,Ward,What is your age?,What is your Gender
Club rooms and facilities,Afl field to grid iron field,Beautiful, nice, magical,,,cranbourne ,3977,balla balla,0-18,Male
Clean and rubbish,No more littering,Clean, safe, healthy,,,cranbourne north,,mayfield,0-18,Female
Healthy environment ,Cleaner ,Safe, healthy, clean,,,cranbourne east,3977,mayfield,0-18,Female
Adventurous environmental ,Free wifi and credit ,Art, playful ,,,,glenroy,,visitor,0-18,Male
Safer ,Main roads to have less traffic ,Safe, clean, welcoming ,,,cranbourne north,,mayfield,0-18,Female
"Cinemas, hanging out in the park with my friends, get a glowing ring",Changes the roads so kids can play on them,Unique, fun, best,,,visitor,,visitor,0-18,Male
Sports ground ,It's all good,Nice, happy, exciting ,,,Thomastown ,,visitor,0-18,Male
Events and festivals- music and celebrations,Move the rugby field closer to the main road,Welcoming,friendly,peaceful,,,melton,,visitor,0-18,Female
Multi cultural,Traffic,Sports,family-oriented,education,,,hampton park,3976,river gum,19-28,Female
Urban density like a city,Get rid of AFL ,Playful,opportunity,education,,,broadmeadows,,visitor,0-18,Male
"More like a city, more shopping centres, buildings  dog shows - make it a place you can bring your dogs",More parking lots,Accessible,safe,happy,,,melton,,visitor,0-18,Female
"Safe roads, better schools with more facilities ",More playgrounds,Opportunity,sustainable,safe,,,meadow heights,,visitor,0-18,Female
"Places to visit and eat, as a family.  Visiting family",Crackdown on crime in cases.  Give older kids something to do for during the week not just on weekends at sports,Safe,employment,,,,Skye,,visitor,29-38,Female
"No homeless people
Great sporting facilities
More jobs",More help for struggling families,Liveable,Amenity,Family-oriented,,,hampton park,3976,river gum,29-38,Female
"Good food, play in park ",Get rid of afl,Sustainable,clean,safe,,,roxburgh park,,visitor,0-18,Male
Places with playgrounds,More schools,Fun,exciting,sports,,,narre warren,3805,springfield,0-18,Female
"Place where people can interact
Great sporting facilities, rugby",Better sports surfaces,Friendly,sports,unique,,,cranbourne north,,mayfield,0-18,Male
Lots of jobs like pilot,More parks,sport,fun,parks,,,narre warren,3805,springfield,0-18,Male
"Pool, movies, lunar park ",Canteen better food,Magical,playful,sustainable,,,craigieburn,,visitor,0-18,Male
Better sporting fields better car parking spots,More parking at cases fields ,Sports,family-oriented,education,,,broadmeadows,,visitor,0-18,Male
Place where everyone wants to come.  Less roadworks,Cleaner and bigger sports reseves,Fun,exciting,new,,,narre warren,3805,springfield,0-18,Male
"More rugby fields,  Family friendly More parks",Better parking at parks and shopping centres,Friendly,sustainable,opportunity,,,cranbourne east,3977,mayfield,0-18,Female
Places where you know you can have fun but it is a sensible place. A well kept area where people can live in harmony,Have more parking not in the mud,unique,clean,beatiful,,,greenvale,,visitor,0-18,Female
More family friendly,Finish casey fields facilities,Positive,parks,education,,,Skye,,visitor,0-18,Female
"Having great sport fields, ",Bigger facilities a lot of people come here to play sports and some times there isn't enough facilities,connected,nature,wellbeing,,,meadow heights,,visitor,0-18,Female
"Waterpark, get more people to play rugby, more bakeries, ",Make the fields better more buildings/facilities,Beautiful,nature,connection,,,epping,,visitor,0-18,Male
Play games local 7 yrs old,Don't know,fun,playful,,,,cranbourne east,3977,mayfield,0-18,Male
Normal happy ,Better education,Happy,peaceful,growth,,,berwick,3806,edrington,0-18,Female
One where you can get an education,Less traffic more buses,Fun,nature,parks,,,hampton park,3976,river gum,0-18,Female
Fun playgrounds,Afl ,Fun,clean,safe,,,broadmeadows,,visitor,0-18,Male
"Play rugby,  a giant playground, ",Long time to drive here,Fun,happy,,,,lalor,,visitor,0-18,Male
Safe with less crime,Make sure people have a place to live,Safe,fun,happy,,,cranbourne east,3977,mayfield,0-18,Female
A place to feel safe ,How people treat other people. No judging ,community,,,,,cranbourne north,,mayfield,0-18,Female
"Lollies, games in libraries and facilities free swimming pool, places that are dog friendly, a cafe in every corner, more playgrounds and a dirt bike track.",Carparks,Fantastic,food,lovely,,,greenvale,,visitor,0-18,Female
Better roads ,Crime rate by increasing police and sentancing,Family-oriented,vibrant,,,,cranbourne north,,mayfield,29-38,Female
Better city with community facilities. Safety ,School,Safe,connected,employment,,,lalor,,visitor,19-28,Female
People to be more mobile better public transport and late night public transport services ,Accessibility to health and education mental health facilities,community,inclusive,connection,,,frankston ,,visitor,49-58,Male
"More playgrounds, bars, cafes, lots of shops",Having proper Carparks with concrete,unique,community,clean,,,Thomastown,,visitor,0-18,Male
Family friendly,Better roads,Relaxed,sports,friendly,,,cranbourne east,3977,mayfield,29-38,Male
Playgrounds schools ,Nothing,Safe,friendly,opportunity,,,tullamarine,,visitor,0-18,Female
"More rugby fields
Grandstand
More sports fields
Better roads
Great schools
More police",More police,Safe,Education,connection,,,narre warren,3805,springfield,39-48,Male
"Freedom of choices, family environment, ",More league fields,Amazing,safe,clean,,,cranbourne east,3977,mayfield,29-38,Male
"A leafy quiet residential area with lots of local attractions like parks, music and art venues, places to eat with good public transport. Safety is a major concern as well.",Make train service better by making it more punctual. It takes an average of extra 15 minutes now to reach the city than what's on the official time table. ,Safe,healthy,nature,,,cranbourne east,3977,mayfield,29-38,Male
Playgrounds ,Bigger house,Fun,safe,happy,,,cranbourne ,3977,balla balla,0-18,Male
"Safe place, happy people, people that acknowledge other cultures and religions, and understanding other people's beliefs, more places for people to work ",More public transport,Loving,building-relationships,harmonious,,,cranbourne ,3977,balla balla,39-48,Female
Crime reduced increased job opportunities within casey. Better roads ,Roads. Widened and improved,Family,friendly,environment,,,hampton park,3976,river gum,29-38,Female
Safe and things for the kids to do,Public transport. To be more convenient. ,Family-oriented,safe,fun,,,cranbourne east,3977,mayfield,29-38,Female
"More kid orientated, only have casey fields need more, ",Build more schools,Family-oriented,sports,space,,,cranbourne ,3977,balla balla,29-38,Female
Safe family environment,Roads and congestion trying to get outside the suburb to work,Safe,family-orientated,lively,,,cranbourne ,3977,balla balla,19-28,Female
Safer for everyone ,See more libraries for children ,Education,wellbeing,safety,,,cranbourne north,,mayfield,0-18,Male
"Safe, family orientated, improve the parks in the older parks, having great community gathering places, ",Improve the roads- wider roads,Safe,community,family-oriented,,,cranbourne north,,mayfield,39-48,Female
Job opportunities good freeways ,Infrastructure to keep up with growth ,Harmony,job,security,,,narre warren,3805,springfield,29-38,Male
Good place to play sport. Connected to transport. ,Happy and safe ,Fun,safe,family,,,cranbourne ,3977,balla balla,29-38,Female
"Activities, attractions, water parks, box bike trails, trampoline parks. ","Roads bigger,",Awesome,clean,new,,,cranbourne east,3977,mayfield,19-28,Female
Infrastructure for growth ,Too many trucks. Wider roads. ,Clean,safe,fabulous,,,cranbourne ,3977,balla balla,19-28,Female
"Family friendly safe environment, place to be  safe",Casey is all good. You don't want to change anything,Safe,fun,beautiful,,,cranbourne north,,mayfield,0-18,Male
Grass greener ,NarreWarren south school ,Fun,relaxing,rich,,,narre warren south,3804,springfield,0-18,Male
"More  league fields, car parking, ","Would be nice if it grow so fast, still growth but slower",Safe,fun,family-oriented,,,cranbourne north,,mayfield,29-38,Female
"Safe,country style, more community facilities like casey fields",More jobs in Casey,Safe,careful,community,,,narre warren south,3804,springfield,0-18,Male
"Beautiful, peaceful, fun. No stealing and no robbers, safe community.","Nothing, it's already good",cool,,,,,cranbourne ,3977,balla balla,0-18,Male
"Family oriented, lots of recreational space, ",More free activities,Safe,family-oriented,clean,,,cranbourne ,3977,balla balla,29-38,Male
Safer place ,More libraries and better education ,Education,change,growth,,,cranbourne north,,mayfield,0-18,Male
"Good ground, good players",More rugby fields ,Peaceful,harmony,nice,,,cranbourne ,3977,balla balla,39-48,Male
"Clean, sunny, peaceful",No poverty,Awesome,,,,,cranbourne ,3977,balla balla,0-18,Female
Relaxing place,More car parks,Safe,beautiful,wonderful,,,cranbourne ,3977,balla balla,0-18,Male
Good community; safe place,Get rid of gambling from Casey,connection,community,facilities,,,cranbourne north,,mayfield,0-18,Male
"Healthy, lots recreational activities, lots of things for the families to get out and do, ",More unity,Unity,togetherness,healthy,,,cranbourne ,3977,balla balla,59-68,Female
Another satellite city like Dandenong ,More family orietated accessible playgrounds for kids ,Passionate,panache,visionary,,,craigieburn,,visitor,19-28,Male
Not sure,Roadworks and the disruption they cause - too slow,Warm,close,community,,,narre warren,3805,springfield,19-28,Female
Ultra high tech sporting cultural Mecca ,Make sure everyone catered for equally ,Equality,cultural,,,,cranbourne south ,3977,balla balla,19-28,Female
"Family orietated more parks,activities for families",Car parking - not enough,,community,family-oriented,,,clyde north,,edrington,39-48,Male
Safe place; more job; improved public transport ,Improved maintenance for our sporting ground,Safe,environment,clean,,,cranbourne west,3977,mayfield,0-18,Male
More public transport and connections,Cranbourne train line would have more services and the bus connections would be better. ,Family-orientated,hubs,,,,clyde north,,edrington,49-58,Female
"It's already good, casey fields is great, having designs that represent all the cultures that live in casey","More things for young people, to expand their skills and talent ",Welcoming,friendly,accessible,,,craigieburn,,visitor,49-58,Female
Bigger swimming pools. Housing growth ,More shops ,Family,exciting,fun,,,frankston ,,visitor,0-18,Male
"Family oriented, easy accessible won't transport ",Less unemployment ,Family,safe,community,,,cranbourne north,,mayfield,29-38,Female
More grounds and fields for kids,Nastiness going on in the world,Community,,,,,endeavour hills,3802,four oaks,68+,Female
"Safe place, connected community, inclusive",Place is good. No changes required,Fun,beautiful,peaceful,,,narre warren south,3804,springfield,0-18,Male
Continue as is,Travel times,Modern,safe,,,,gladstone ,,visitor,29-38,Female
"Fun, safe place, more transport, more homes",Can be bit more cleaner ,Fun,safe,beautiful,,,cranbourne ,3977,balla balla,0-18,Male
Keep it the same,Transport more busses and trains,Fun,beautiful,clean,,,cranbourne ,3977,balla balla,0-18,Male
"Safe ! Beautiful and clean 
 ",More shelter for people to stand to watch sports ,Safe,clean,beautiful,,,cranbourne ,3977,balla balla,0-18,Male
Cheap housing,The road....congestion ,Safe,community,,,,visitor,,visitor,19-28,Female
A safe place,Address drug and suicide deaths cease,Peace,community,safety,,,berwick,3806,edrington,39-48,Female
"More homely, need more parks, motor bike tracks, skateboard parks","Everyone being happy, community",Great,good,safe,,,langwarrin,,visitor,29-38,Female
Sports capital of Melbourne ,"Keep doing what we are doing in terms of accessibility for people with disabilities - toilers, pathways all accessible",Sports,,,,,cranbourne ,3977,balla balla,49-58,Male
Safe place with fun things to do. That's clean ,Keep fixing up roads to keep up with population ,Family-orientated,nature,swimming,,,frankston ,,visitor,39-48,Female
"Family oriented, entertainment being close to it, weekend activities ",Bigger freeway with easier access to the city ,Place-to-be,,,,,koo wee rup,,visitor,39-48,Male
Peaceful and to be educated ,Houses bigger,Fun,peaceful,education,,,roxburgh park ,,visitor,0-18,Male
Friendly and accomative,Making more roads wider and more dual train lines,sports,facilities,parking,,,cranbourne ,3977,balla balla,59-68,Male
City like but with strong community,Having adventure theme parks here would be good. Water parks etc. ,beautiful,,,,,cranbourne east,3977,mayfield,39-48,Male
Easier to get to (live Northside),"More shops, no shops nearby",city,vibrant,,,,craigieburn,,visitor,19-28,Female
"More modern than now
Expansion of roads
Inclusive and multicultural
Kids should feel no fear irrespective of race and religion and creed",People's mindset regarding race,inclusive,multicultural,liveable,,,cranbourne north,,mayfield,39-48,Female
The same,Expand basketball court. ,Clean,safe,green,,,cranbourne ,3977,balla balla,0-18,Female
Keep up with growth ,Beautify. Need to landscape,Green,,,,,cranbourne ,3977,balla balla,29-38,Male
More parks. Basketball courts ,More parks and things for parents,Fun,sporty,fantastic,,,cranbourne ,3977,balla balla,0-18,Male
A good safe place,Muddy fields to be changed,Safe,fun,incredible,,,broadmeadows,,visitor,0-18,Male
I would like Casey to revert to having a semi-rural feeling and importantly still have an agricultural and farming area.,To boot out government interference and allowing Casey to accept and deny planning permits without VCAT's intervention.,Semi-rural,agricultural,self-sufficient,,,devon meadows ,3977,balla balla,59-68,Female
"Along with growing economy a city that is still keeping its' nature beauty which include lots of parks and trees,  wild beauty grassland, open field (act as lung providing clean air), wider road and well linked road (eg fountaingate shopping complex) that is easy to park and driving around. 
These are the uniqueness of Casey compare to all other cities in melbourne.","Make business to build higher for efficiency use of land while give land to trees and wider road and keeping nature beauty wild grass meadow(as flood basin) , open field(as air purifier).",high-rise,open-space,,,,berwick,3806,edrington,39-48,Male
A leafy and less car dependent city ,Provide more walking and bike paths,Open,active,,,,lynbrook,3975,river gum,39-48,Male
Peaceful and loving. Good neighbours,For everyone to smile all the time,Safe,Peaceful,,,,berwick,3806,edrington,49-58,Female
"Friendly, great for kids and the council works with the the community 
Parks, trees, healthier food and community events ","Less housing, more open spaces",Parks,wildlife,fun,,,launching place,,visitor,39-48,Male
"Friendly and accessible, grew sociable interactive nurturing ",Greater integration between people more community events opportunities for people to come together ,Welcoming,unity,,,,berwick,3806,edrington,49-58,Male
A lot of nature. More respect for nature. Planting more trees. ,Open more parks,Awesome,big,beautiful,,,berwick,3806,edrington,0-18,Male
"More house, more nature.",Less eltitrc fence,Housing,natural,sport,,,berwick,3806,edrington,0-18,Male
A place where everyone's connected and something for everyone ,Introduce more programs to clean the environment ,Engaging,natural,community,,,glen waverley ,,visitor,0-18,Female
"Eco environment, sustainable, walking grounds, safe environment for the kids.
Country feel in the city,",Roadways - congestion on the local government roads. ,Sustainable,safe,bright,,,cranbourne ,3977,balla balla,39-48,Female
More protected. Safe. Greener ,Equal opportunity for everyone  more community services for everyone. Build up friendships. ,Safe,parks,neighourhoods,,,glen waverley ,,visitor,0-18,Male
Safe place ,Council rates kept low,Spacious,safe,local-jobs,,,glen waverley ,,visitor,49-58,Male
"Family friendly, parks. Sports grounds",More funding for children teenager activities,Happy,vibrant,sustaining,,,narre warren north,3804,four oaks,39-48,Female
Kids to enjoy. More nature ,No pollution ,Beautiful,Greener,nature,,,berwick,3806,edrington,29-38,Female
"Regional centre,  more job opportunities, more infrastructure",More financially accountable,accountability,governance,,,,narre warren,3805,springfield,49-58,Male
Safe with good schools ,Connection through to south Gippsland highway from glass case rd,Safe,,,,,narre warren south,3804,springfield,39-48,Male
Nature to be maintained in natural form,"More plants to be plainted , steam banks",urban-farming,compost,,,,narre warren south,3804,springfield,49-58,Male
"Friendly, safe place for children, more access to services and transpots",Transport,Friendly,happy,community,,,berwick,3806,edrington,19-28,Female
Family centred and community centred ,Our scout hall at akonanh park. Be safer for use,Family.,Community,Nature,,,berwick,3806,edrington,29-38,Female
Family friendly and safe ,More parking at stations especially as we get busier ,Safe,accessible,community,,,narre warren,3805,springfield,19-28,Female
Job opportunities ,Public transport ,Green,peaceful,clean,,,noble park,,visitor,39-48,Male
"Sustainable city, 100% renewable energy, encourages diversity, regional hub (city), connection to the city, transport, infrastructure","Target to achieve 0 net emissions within the next ten years, renewable energy, water collection and harvesting",Sustainable,connected,diverse,,,narre warren,3805,springfield,29-38,Male
"Safe, gives priory to family valves, caring for others, compassionate community",Family values ,Safe,secure,compassionate,,,lyndhurst,3975,mayfield,49-58,Male
Closer to the city ,Provide people with more facilities,Welcoming,friendly,nice,,,windsor,,visitor,29-38,Female
"Lots trees, open spaces, access to fruit",Transport,Environment,,,,,burwood east,,visitor,39-48,Male
"More green, more sustainable ",Public transport,passionate,environment,,,,boxhill,,visitor,49-58,Male
Tree planting and community events,Grow more green areas,nature,,,,,bulleen,,visitor,29-38,Male
"More access to solar powers, stays green as it is right now",More more reliable public transport,Green,community,access,,,hampton park,3976,river gum,19-28,Male
"Vibrant, safe, invloved",It is alright ,Safe,connected,involved,,,endeavour hills,3802,four oaks,49-58,Female
Connected with people,Bike path between Narre to lysterfield park,Family-oriented,Healthy,multicultural,,,narre warren,3805,springfield,39-48,
Enviro sustable. Close kit community.,Better public transport,Sustainable,inclusive,accessible,,,bonbeach,,visitor,29-38,Male
Inclusive of the whole community ,Speed limits reduction especially in residential areas ,Challenging,exciting,achievable,,,berwick,3806,edrington,59-68,Male
Family friendly,Disability support access,Family-oriented,friendly,,,,berwick,3806,edrington,39-48,Male
"As good as it is now, ",More public transport,Heathy,safe,caring,,,newport,,visitor,29-38,Female
Keeping up with revegetation ,Public transport ,Environment,sustainable,parks,,,hustrbrige ,,visitor,29-38,Female
More playing park better library,Mayor,Youth,safe,better-roads,,,narre warren south,3804,springfield,68+,Female
A vibrant city,Traffic flows such as Webb street,safe,Clean,Liveable,,,narre warren south,3804,springfield,68+,Male
"Safe, heathy happy",Public transport,Family-oriented,open-space,safe,,,doncaster,,visitor,19-28,Male
Heaps of trees,Don't build s o many buildings,environment,friendly,Proud,,,guys hill,,visitor,0-18,Female
"Traffic free, decent infrastructure ",Traffic congression,Proud,environment,bushlands,,,guys hill ,,visitor,39-48,Female
Good the way it is ,More bike tracks ,Safe,open,community,,,narre warren,3805,springfield,0-18,Male
Sustainable solar energy and have lots off trees,Remove all enviroennmentally unfriendly places,nature,,,,,cranbourne ,3977,balla balla,0-18,Male
"Better roads , reduce under age smoking ",More youth activities indoor sports low cost ,connected,friendly,safe,,,cranbourne ,3977,balla balla,0-18,Male
A happy safe kind place,Everyone gets through the same. Same rights,family-oriented,Hopeful,Safe,,,hallam,3803,river gum,49-58,Male
Unity for all communities ,Safety of kids ,Safe,friendly,healthy,,,cranbourne ,3977,balla balla,29-38,Female
People living in harmony,More interfaith and multi faith festivals,Love,Harmony,Service,,,cranbourne east,3977,mayfield,29-38,Male
"Safe, healthy ",Pollution ,Safe,nature,better-roads,,,narre warren,3805,springfield,0-18,Female
Farm worth animals ,Make fountain gate bigger ,less-development,nature,,,,cranbourne ,3977,balla balla,0-18,Male
"Family friendly, more bike tracks ",Less speed humps ,Family-oriented,environment,,,,narre warren north,3804,four oaks,39-48,Male
Community driven with fantastic schools,Roads,people,,,,,narre warren,3805,springfield,29-38,Female
Greener. Protection of our environment. Clean green. And nice ,Nothing it's beautiful. Love the nature ,Heaven,beautiful,,,,boronia ,,visitor,29-38,Female
Safe and organised,Traffic management,Green-spaces,management,services,,,narre warren,3805,springfield,49-58,Male
"More schools, roads improved, building freeways ",Traffic reducing ,Better,safe,friendly,,,berwick,3806,edrington,39-48,Female
"Education, job opportunities and mai tang an active lifestyle ",Get people off the roads by having better broad ands to get people to work from home and bette bike lanes ,Connected,digital,healthy,,,narre warren,3805,springfield,29-38,Male
Greener city,W idea roads,Friendly,nature,,,,epping,,visitor,39-48,Female
Multi cultural crime free approachable council,Youth employment ,safe,nature,multicultural,,,berwick,3806,edrington,49-58,Female
More opportunities for jobs and services and facilities for transport ,Change the roads and reduce traffic ,Beautiful,liveable,wealthy,,,clyde north,,edrington,39-48,Male
"More about family, infrastructure for families, less in fighting at council focus on people ",Councillor Pay rates go down and yearly rates come down a bit ,Family-oriented,environment,infrastructure,,,berwick,3806,edrington,39-48,Male
W itch lots of green spa ces,Good. School s a nd good culture,Beautiful,environment,culture,,,craigieburn,,visitor,39-48,Female
Lots of fun parks and modern buildings,Stop bush fires,Good,Relaxing,Fun,,,cranbourne ,3977,balla balla,0-18,Male
"More trees, more natre",All the trees don't get cut down,Natural,calm,,,,narre warren,3805,springfield,0-18,Male
Really good environment everyone friendly,More strict rules if someone does something bad,place,,,,,berwick,3806,edrington,0-18,Female
More trees. More wild life and less houses ,Reduc littering ,Big,Environment,nature,,,cranbourne ,3977,balla balla,0-18,Male
Beautiful lots plants ,Makes improve scout hall,,beautiful,place,,,narre warren south,3804,springfield,0-18,Female
Less factories and more landscapes ,More bins in places so people don't litter,Fun,Loveable,enjoyable,,,berwick,3806,edrington,0-18,Female
Friendly pla Ce and good neighbourhood ,More pa rks,Friendly,Kind,Safe,,,narre warren north,3804,four oaks,0-18,Male
"Better, environmentally ",Donations to scouts ,Fantastic,amazing,,,,narre warren south,3804,springfield,0-18,Female
Focus on nature,More bike lanes ,fun,children,,,,bulleen,,visitor,29-38,Female
Care for the environment ,More days like the tree planing day ,Respectful,caring,,,,narre warren north,3804,four oaks,0-18,Male
Inclusive for people,Planning,Inclusive,Pro-active,Leader,,,lynbrook,3975,river gum,39-48,Male
"More community feel, more play centres, more take away",Stop people hurting animals,cool,,,,,carburn,,visitor,0-18,Male
More playgrounds ,See a museum ,healthy,safe,fun,,,clyde north,,edrington,0-18,Male
Very safe environment which is green with lots of trees and a good community ,Peace among the community ,Environment.,people.,education.,,,officer,3809,visitor,29-38,Female
Environmental friendly pla c e,Planning of infrastructure compa red to environment,Community,Co-efficient,Ideas,,,lynbrook,3975,river gum,0-18,Male
Progressive place,Freeway in Berwick ,schools,events,volunteers,,,berwick,3806,edrington,39-48,Female
Progress in environmental protection ,Widening the roads for better traffc,Environment,multicultural,communication,,,cranbourne north,,mayfield,29-38,Female
"Sustainable,inclusive, good resource management.",More transparent with decision making,Sustainable,harmony,economy,,,hampton park,3976,river gum,19-28,Female
More environmentally friendly ,More activities for kids related to environment ,theatre,hospitals,24hr-clinic,,,lynbrook,3975,river gum,39-48,Female
Community friendly and environment friendly,Improve the safety,Beautiful,services,environment,,,maroondah,,visitor,39-48,Female
Family friendly more diversity culturally ,Transport ,economy,nature,,,,cranbourne north,,mayfield,39-48,Male
"More sustainable, more accepting, prosperous , harmous",Curpution,Diverse,open-minded,prosperous,,,narre warren,3805,springfield,19-28,Female
Environment friendly,Roads,Beautiful,Green-space,Friendly,,,hampton park,3976,river gum,29-38,Male
Good ,Swimming pool,Fantastic,relaxing,good,,,cranbourne north,,mayfield,0-18,Male
"Easy footpaths, playgrounds, ",More bbq areas,Relaxed,fantastic,excellent,,,cranbourne north,,mayfield,0-18,Male
Respect for each other,The dump site within the residential area to be moved,Multicultural,Peaceful,Serene,,,hampton park,3976,river gum,39-48,Male
A diverse place with lots of cultures,The nature and amount of trees,Beautiful,peaceful,diverse,,,clyde north,,edrington,19-28,Male
"Like Melbourne, tall building and facilities","Schools, have full facilities",Clean,big,facilities,,,cranbourne west,3977,mayfield,0-18,Male
Place w itch good s cools ,Roads,Safety,Harmony,services,,,berwick,3806,edrington,59-68,Male
Keep improving ,Better transport links ,Modern,family,healthy,,,narre warren,3805,springfield,29-38,Male
More open community that appreciates its green features,Better public transport,Community,Green,Accessible,,,hampton park,3976,river gum,19-28,Male
Safe and peaceful.good traffic management.clean,No smell from the landfill in Lynbrook,Safe,clean,,,,lynbrook,3975,river gum,29-38,Female
A community based place where people in all shapes sizes and colours can live harmoniously,"People's attitude towards race. We're all the same on the inside, no need to have fear or ignorance around other people",Diverse,united,community,,,doveton ,3177,river gum,19-28,Female
"A vibrant multicultural community, safe and secure for all regardless of ethnic or religious background.",Traffic flow,Safe,employment,affordability,,,endeavour hills,3802,four oaks,49-58,Male
