What is your suburb?,Postcode,Ward,What is your age?,What is your Gender
endeavour hills,3802.0,four oaks,68+,female
hampton park,3976.0,river gum,39-48,female
doveton ,3177.0,river gum,29-38,female
junction village,3977.0,balla balla,29-38,female
berwick,3806.0,edrington,39-48,female
berwick,3806.0,edrington,29-38,female
narre warren south,3804.0,springfield,29-38,female
berwick,3806.0,edrington,49-58,male
narre warren,3805.0,springfield,0-18,female
berwick,3806.0,edrington,29-38,Male
berwick,3806.0,edrington,19-28,female
berwick,3806.0,edrington,19-28,female
berwick,3806.0,edrington,59-68,female
berwick,3806.0,edrington,59-68,Male
berwick,3806.0,edrington,19-28,female
hampton park,3976.0,river gum,39-48,female
endeavour hills,3802.0,four oaks,49-58,female
berwick,3806.0,edrington,29-38,female
narre warren,3805.0,springfield,39-48,female
narre warren north,3804.0,four oaks,59-68,female
narre warren north,3804.0,four oaks,19-28,Male
cranbourne ,3977.0,balla balla,39-48,female
doveton ,3177.0,river gum,49-58,female
Narre Warren South,3804.0,springfield,39-48,female
Narre Warren South,3804.0,springfield,49-58,male
Cranbourne West,3977.0,mayfield,59-68,female
Cranbourne East,3977.0,mayfield,0-18,female
Dandenong,3175.0,visitor,19-28,female
Hampton Park,3976.0,river gum,0-18,female
Narre Warren,3805.0,springfield,19-28,female
Narre Warren,3805.0,springfield,19-28,female
Narre Warren South,3804.0,springfield,19-28,female
Endeavour Hills,3802.0,four oaks,19-28,female
Cranbourne,3977.0,balla balla,0-18,female
Doveton,3177.0,river gum,0-18,female
Narre Warren South,3804.0,springfield,19-28,female
Narre Warren South,3804.0,springfield,0-18,female
Hampton Park,3976.0,river gum,0-18,female
Narre Warren,3805.0,springfield,0-18,female
Drouin,3818.0,visitor,29-38,female
Doveton,3177.0,river gum,29-38,male
Doveton,3177.0,river gum,29-38,male
Hampton Park,3976.0,river gum,39-48,female
Hampton Park,3976.0,river gum,0-18,male
Narre Warren,3805.0,springfield,0-18,Unknown
Cranbourne,3977.0,balla balla,19-28,female
Camberwell,3124.0,visitor,0-18,female
Cranbourne,3124.0,balla balla,0-18,female
Hampton Park,3976.0,river gum,0-18,male
Cranbourne East,3977.0,mayfield,39-48,female
Cranbourne East,3977.0,mayfield,29-38,female
Cranbourne  ,3977.0,balla balla,49-58,female
Cranbourne,3977.0,balla balla,0-18,female
Hampton Park,3976.0,river gum,49-58,female
Botanic Ridge,3977.0,balla balla,29-38,female
Cranbourne east,3977.0,mayfield,0-18,Male
cranbourne south ,3977.0,balla balla,49-58,female
Cranbourne,3977.0,balla balla,68+,Male
Cranbourne East,3977.0,mayfield,29-38,Unknown
Cranbourne,3977.0,balla balla,29-38,female
Cranbourne,3977.0,balla balla,19-28,female
Cranbourne East,3977.0,mayfield,49-58,female
Cranbourne,3977.0,balla balla,29-38,female
Cranbourne,3977.0,balla balla,19-28,Male
Clyde North,3978.0,edrington,0-18,female
Clyde  ,3978.0,balla balla,39-48,Male
Hampton Park,3976.0,river gum,19-28,Prefer not to say
Clyde North,3978.0,edrington,19-28,female
Clyde North,3978.0,edrington,0-18,female
Hampton Park,3976.0,river gum,19-28,female
